OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,TOTCOMM,AUTO,DRVALONE,CARPOOL,CARPL2,CARPL3,CARPL4,CARPL5OR6,CARPL7PLS,PUBLTRAN,BUSTROLL,STCARTROLL,SUBEL,RR,FERRY,TAXI,MOTORCYC,BIKE,WALK,OTHER,TELECOMM,POPOVER16,TOTEMPINFORCE,UNEMPPCT,TIMETOWK,MEDHHI,PCTFOODSNAP,PCTNOINS,PCTFAMBELPOV,TOTHU,HUOCC,HUVACANT,NOVEHN,NOVEHP,ONEVEHN,ONEVEHP,TWOVEHN,TWOVEHP,THRPLSVEHN,THRPLSVEHP,TOTPOP,TOTMALE,TOTFEM,ALLWHITE,ALLWHITEPCT,ALLBLK,ALLBLKPCT,ALLAMERIN,ALLAMERINPCT,ALLASIAN,ALLASIANPCT,ALLNATHI,ALLNATHIPCT,HISPTOT,HISPPCT
11,42,045,403502,42045403502,4035.02,1328,1240,1136,104,62,0,42,0,0,35,9,0,0,26,0,0,0,0,53,0,0,2495,1535,38.5,24,51228,8.7,10.5,9.2,1321,1226,95,167,13.6,504,41.1,418,34.1,137,11.2,3054,1365,1689,2421,79.3,363,11.9,0,0,55,1.8,0,0,13,0.425671
12,42,045,403701,42045403701,4037.01,812,670,552,118,92,0,26,0,0,20,16,0,0,4,0,0,0,0,122,0,0,1380,922,33.2,21.9,47174,18.2,11.2,9.8,751,674,77,65,9.6,197,29.2,273,40.5,139,20.6,1823,1010,813,1786,98,9,0.5,0,0,0,0,0,0,45,2.468459
13,42,045,403702,42045403702,4037.02,1174,1035,920,115,115,0,0,0,0,55,40,0,0,15,0,0,0,0,52,0,32,1822,1318,27.7,26.9,53718,6.2,6.6,4.4,1050,948,102,67,7.1,297,31.3,425,44.8,159,16.8,2267,1133,1134,2222,98,1,0,0,0,23,1,0,0,126,5.558006
14,42,045,403104,42045403104,4031.04,919,777,731,46,38,1,7,0,0,72,53,0,19,0,0,0,0,0,64,0,6,1693,1192,29.6,36.4,36528,28.7,16.9,15.9,1031,868,163,236,27.2,336,38.7,280,32.3,16,1.8,2516,1158,1358,1066,42.4,1260,50.1,0,0,42,1.7,0,0,45,1.788553
15,42,045,403300,42045403300,4033,2942,2402,2254,148,105,42,0,1,0,326,308,0,18,0,0,0,0,0,166,10,38,5139,3322,35.4,29.2,40752,12.6,17.2,9.9,2633,2486,147,375,15.1,1060,42.6,770,31,281,11.3,6649,2842,3807,5064,76.2,836,12.6,0,0,552,8.3,0,0,156,2.346217
16,42,045,406100,42045406100,4061,1037,909,799,110,93,17,0,0,0,65,53,0,0,12,0,0,0,0,14,0,49,1643,1200,27,27.7,51103,13.1,8.8,13.8,885,827,58,67,8.1,331,40,330,39.9,99,12,2184,1100,1084,1743,79.8,243,11.1,9,0.4,76,3.5,0,0,123,5.631868
17,42,045,403902,42045403902,4039.02,1886,1681,1593,88,74,0,14,0,0,190,8,0,0,182,0,0,0,0,7,0,8,3072,2053,33.2,24.2,72629,3,6,1,1470,1372,98,35,2.6,454,33.1,518,37.8,365,26.6,3743,2052,1691,3674,98.2,0,0,0,0,24,0.6,0,0,0,0
18,42,045,980000,42045980000,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,,0,,0,,0,,0,
19,42,045,410500,42045410500,4105,2177,1523,1255,268,140,88,7,23,10,506,315,25,157,9,0,33,0,0,92,18,5,3882,2553,34.2,33.7,37944,18.5,28.8,18.8,1630,1411,219,322,22.8,538,38.1,415,29.4,136,9.6,5021,2484,2537,824,16.4,890,17.7,8,0.2,2870,57.2,0,0,349,6.950807
20,42,045,410700,42045410700,4107,1477,952,811,141,85,37,19,0,0,219,206,0,0,13,0,13,0,49,72,0,172,4752,1900,60,22.4,25896,48.7,16.6,18.1,2280,1676,604,713,42.5,605,36.1,262,15.6,96,5.7,5671,3375,2296,767,13.5,4603,81.2,0,0,0,0,0,0,429,7.564803
