cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
east,Philadelphia,19th st,20th st,0,4210160103,,39.946661,589,2010,-75.173929,70607,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70607,8/12/10,Bicycle 1,Central,pine st,
west,Philadelphia,12th st,13th st,0,4210160103,,39.946611,335,2011,-75.161644,73561,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73561,1/14/11,Bicycle 1,Central,spruce st,
north,Philadelphia,dickinson st,tasker st,0,4210160112,,39.931502,117,2012,-75.171491,84239,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=84239,2/10/12,Bicycle 1,South,16th st,
east,,greenview ave,witherspoon st,0,3402160915,,40.352242,90,2015,-74.659862,112545,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112545,5/1/15,Bicycle 2,,wiggins st eastbound lanes,W
north,Philadelphia,locust st,walnut st,0,4210160103,,39.950601,558,2010,-75.177394,70611,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70611,8/12/10,Bicycle 1,Central,22nd st,
north,Philadelphia,melon st,wallace st,0,4210160103,,39.96535,12,2011,-75.158544,79165,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79165,7/8/11,Bicycle 1,Central,n 13th st,
south,Philadelphia,callowhill st,hamilton st,0,4210160103,,39.960116,122,2011,-75.163656,71836,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71836,3/25/11,Bicycle 1,Central,15th st,
south,Camden,haddon ave,n atlantic ave,0,3400714260,,39.914347,5,2014,-75.063937,112530,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112530,10/9/14,Bicycle 2,Collingswood Borough,w stiles ave,N
west,Philadelphia,shawmont ave,port royal ave,0,4210160108,,40.046667,57,2011,-75.252893,78742,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78742,6/10/11,Bicycle 1,Lower Northwest,nixon st westbound lane,
north,Philadelphia,kingsessing ave,chester ave,0,4210160110,,39.935235,18,2011,-75.227863,78721,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78721,6/3/11,Bicycle 1,University - Southwest,58th st northbound lane,
south,Philadelphia,lindbergh blvd,elmwood ave,0,4210160102,,39.928547,13,2011,-75.220025,78738,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78738,6/9/11,Bicycle 1,Lower Southwest,58th st southbound lane,
north,Philadelphia,lindbergh blvd,elmwood ave,0,4210160110,,39.928567,2,2011,-75.219982,78737,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78737,6/9/11,Bicycle 1,University - Southwest,58th st northbound lane,
south,Philadelphia,noble st,spring garden st,0,4210160103,,39.960009,45,2010,-75.141581,71281,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71281,10/14/10,Bicycle 1,Central,2nd st,
north,Philadelphia,willow st,callowhill st,0,4210160103,,39.95815,278,2010,-75.1439,71282,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71282,9/2/10,Bicycle 1,Central,3rd st,
north,Philadelphia,arch st,market st,0,4210160103,,39.951069,371,2010,-75.145476,71283,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71283,9/2/10,Bicycle 1,Central,3rd st,
south,Philadelphia,chestnut st,market st,0,4210160103,,39.950625,114,2010,-75.153705,71285,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71285,10/21/10,Bicycle 1,Central,8th st,
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.944452,215,2010,-75.173516,71607,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71607,10/20/10,Bicycle 1,Central,19th st,
west,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.95128,571,2010,-75.17997,71879,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71879,9/23/10,Bicycle 1,Central,walnut st bridge,
west,,greenview ave,witherspoon st,0,3402160915,,40.352297,72,2015,-74.659881,112546,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112546,5/1/15,Bicycle 2,,wiggins st westbound lanes,E
north,Philadelphia,chestnut st,market st,0,4210160103,,39.9498,232,2010,-75.15546,71286,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71286,9/2/10,Bicycle 1,Central,9th st,
east,Philadelphia,23rd st,schuykill ave,3,4210160103,,39.954421,111,2010,-75.180227,71872,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71872,10/27/10,Bicycle 1,Central,market st bridge eastbound lanes,
west,Philadelphia,23rd st,schuykill ave,0,4210160110,,39.954495,88,2010,-75.180345,71873,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71873,10/27/10,Bicycle 1,University - Southwest,market st bridge westbound lanes,
south,Philadelphia,arch st,race st,0,4210160103,,39.95433,287,2010,-75.1561,71288,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71288,9/9/10,Bicycle 1,Central,10th st,
north,Philadelphia,market st,arch st,0,4210160103,,39.95292,222,2010,-75.158039,71289,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71289,10/7/10,Bicycle 1,Central,11th st,
south,Philadelphia,race st,cherry st,0,4210160103,,39.95607,180,2010,-75.16448,71291,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71291,9/16/10,Bicycle 1,Central,15th st,
